Year,Lower Bound,Single,Married Filing Seperately,Married Filing Jointly,Head of Household
1957,2804032.608695652,,,0.9,0.91
1957,3738710.144927536,,,0.91,
1958,0.0,0.2,0.2,0.2,0.2
1958,18039.93006993007,0.22,0.22,,0.21
1958,36079.86013986014,0.26,0.26,0.22,0.24
1958,54119.790209790204,0.3,0.3,,0.26
1958,72159.72027972028,0.34,0.34,0.26,0.3
1958,90199.65034965034,0.38,0.38,,0.32
1958,108239.58041958041,0.43,0.43,0.3,0.36
1958,126279.51048951049,0.47,0.47,,0.39
1958,144319.44055944055,0.5,0.5,0.34,0.42
1958,162359.37062937062,0.53,0.53,,0.43
1958,180399.3006993007,0.56,0.56,0.38,0.47
1958,198439.23076923075,0.59,0.59,,0.49
1958,216479.16083916082,,,0.43,0.52
1958,234519.0909090909,0.62,0.62,,
1958,252559.02097902098,,,0.47,0.54
1958,288638.8811188811,0.65,0.65,0.5,0.58
1958,324718.74125874124,,,0.53,
1958,342758.67132867133,0.6900000000000001,0.6900000000000001,,0.62
1958,360798.6013986014,,,0.56,
1958,396878.4615384615,0.72,0.72,0.59,0.66
1958,450998.2517482517,0.75,0.75,,0.68
1958,469038.1818181818,,,0.62,
1958,541197.902097902,0.78,0.78,,0.71
1958,577277.7622377622,,,0.65,
1958,631397.5524475524,0.81,0.81,,0.74
1958,685517.3426573427,,,0.6900000000000001,
1958,721597.2027972027,0.84,0.84,,0.76
1958,793756.923076923,,,0.72,
1958,811796.8531468532,0.87,0.87,,0.8
1958,901996.5034965035,0.89,0.89,0.75,0.8300000000000001
1958,1082395.804195804,,,0.78,
1958,1262795.104895105,,,0.81,
1958,1352994.7552447552,0.9,0.9,,0.87
1958,1443194.4055944055,,,0.84,
1958,1623593.7062937063,,,0.87,
1958,1803993.006993007,0.91,0.91,0.89,0.9
1958,2705989.5104895104,,,0.9,0.91
1958,3607986.013986014,,,0.91,
1959,0.0,0.2,0.2,0.2,0.2
1959,17791.103448275862,0.22,0.22,,0.21
1959,35582.206896551725,0.26,0.26,0.22,0.24
1959,53373.31034482759,0.3,0.3,,0.26
1959,71164.41379310345,0.34,0.34,0.26,0.3
1959,88955.5172413793,0.38,0.38,,0.32
1959,106746.62068965517,0.43,0.43,0.3,0.36
1959,124537.72413793103,0.47,0.47,,0.39
1959,142328.8275862069,0.5,0.5,0.34,0.42
1959,160119.93103448275,0.53,0.53,,0.43
1959,177911.0344827586,0.56,0.56,0.38,0.47
1959,195702.1379310345,0.59,0.59,,0.49
1959,213493.24137931035,,,0.43,0.52
1959,231284.3448275862,0.62,0.62,,
1959,249075.44827586206,,,0.47,0.54
1959,284657.6551724138,0.65,0.65,0.5,0.58
1959,320239.8620689655,,,0.53,
1959,338030.9655172414,0.6900000000000001,0.6900000000000001,,0.62
1959,355822.0689655172,,,0.56,
1959,391404.275862069,0.72,0.72,0.59,0.66
1959,444777.5862068966,0.75,0.75,,0.68
1959,462568.6896551724,,,0.62,
1959,533733.1034482758,0.78,0.78,,0.71
1959,569315.3103448276,,,0.65,
1959,622688.6206896552,0.81,0.81,,0.74
1959,676061.9310344828,,,0.6900000000000001,
1959,711644.1379310344,0.84,0.84,,0.76
1959,782808.551724138,,,0.72,
1959,800599.6551724138,0.87,0.87,,0.8
1959,889555.1724137932,0.89,0.89,0.75,0.8300000000000001
1959,1067466.2068965517,,,0.78,
1959,1245377.2413793104,,,0.81,
1959,1334332.7586206896,0.9,0.9,,0.87
1959,1423288.2758620689,,,0.84,
1959,1601199.3103448276,,,0.87,
1959,1779110.3448275863,0.91,0.91,0.89,0.9
1959,2668665.5172413792,,,0.9,0.91
1959,3558220.6896551726,,,0.91,
1960,0.0,0.2,0.2,0.2,0.2
1960,17608.941979522184,0.22,0.22,,0.21
1960,35217.88395904437,0.26,0.26,0.22,0.24
1960,52826.82593856655,0.3,0.3,,0.26
1960,70435.76791808874,0.34,0.34,0.26,0.3
1960,88044.70989761093,0.38,0.38,,0.32
1960,105653.6518771331,0.43,0.43,0.3,0.36
1960,123262.5938566553,0.47,0.47,,0.39
1960,140871.53583617747,0.5,0.5,0.34,0.42
1960,158480.47781569965,0.53,0.53,,0.43
1960,176089.41979522185,0.56,0.56,0.38,0.47
1960,193698.36177474403,0.59,0.59,,0.49
1960,211307.3037542662,,,0.43,0.52
1960,228916.24573378838,0.62,0.62,,
1960,246525.1877133106,,,0.47,0.54
1960,281743.07167235494,0.65,0.65,0.5,0.58
1960,316960.9556313993,,,0.53,
1960,334569.8976109215,0.6900000000000001,0.6900000000000001,,0.62
1960,352178.8395904437,,,0.56,
1960,387396.72354948806,0.72,0.72,0.59,0.66
1960,440223.5494880546,0.75,0.75,,0.68
1960,457832.49146757676,,,0.62,
1960,528268.2593856655,0.78,0.78,,0.71
1960,563486.1433447099,,,0.65,
1960,616312.9692832765,0.81,0.81,,0.74
1960,669139.795221843,,,0.6900000000000001,
1960,704357.6791808874,0.84,0.84,,0.76
1960,774793.4470989761,,,0.72,
1960,792402.3890784982,0.87,0.87,,0.8
1960,880447.0989761092,0.89,0.89,0.75,0.8300000000000001
1960,1056536.518771331,,,0.78,
1960,1232625.938566553,,,0.81,
1960,1320670.6484641638,0.9,0.9,,0.87
