Year,Status,20000,30000,40000,50000,70000,100000,150000,200000,250000,300000,500000,800000,1000000,1500000,2000000,5000000,10000000,20000000,50000000,100000000,500000000,1000000000
1968,Head of Household,0.18,0.18,0.2,0.22,0.25,0.31,0.36,0.45,0.48,0.52,0.59,0.66,0.67,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1968,Married Filing Jointly,0.16,0.17,0.19,0.19,0.22,0.25,0.28,0.36,0.42,0.45,0.55,0.62,0.64,0.6900000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1968,Married Filing Seperately,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.53,0.55,0.58,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1968,Single,0.19,0.19,0.22,0.25,0.28,0.36,0.45,0.53,0.55,0.58,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1969,Head of Household,0.18,0.2,0.2,0.22,0.25,0.31,0.4,0.45,0.48,0.53,0.59,0.66,0.67,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1969,Married Filing Jointly,0.16,0.19,0.19,0.19,0.22,0.25,0.32,0.36,0.42,0.48,0.55,0.62,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1969,Married Filing Seperately,0.19,0.22,0.22,0.25,0.28,0.36,0.48,0.53,0.55,0.58,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1969,Single,0.19,0.22,0.22,0.25,0.28,0.36,0.48,0.53,0.55,0.58,0.64,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1970,Head of Household,0.18,0.2,0.2,0.22,0.27,0.32,0.4,0.46,0.5,0.53,0.61,0.66,0.68,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1970,Married Filing Jointly,0.16,0.19,0.19,0.19,0.22,0.25,0.32,0.39,0.45,0.48,0.55,0.62,0.66,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1970,Married Filing Seperately,0.19,0.22,0.22,0.25,0.32,0.39,0.48,0.53,0.55,0.58,0.66,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1970,Single,0.19,0.22,0.22,0.25,0.32,0.39,0.48,0.53,0.55,0.58,0.66,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
1971,Head of Household,0.18,0.19,0.22,0.22,0.25,0.28,0.36,0.42,0.51,0.55,0.62,0.67,0.68,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001
